City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
112,yellowknife,62.456,-114.3525,21.34,59,0,7.2,CA,1721068623
113,yatou,37.15,122.3833,24.23,98,82,2.19,CN,1721068624
114,georgetown,5.4112,100.3354,27.97,83,20,1.54,MY,1721068625
115,klyuchi,52.2667,79.1667,23.93,70,100,3.44,RU,1721068626
116,egbe,8.2167,5.5167,22.91,91,100,1.73,NG,1721068629
117,udachny,66.4167,112.4,18.23,42,100,1.43,RU,1721068630
118,ilulissat,69.2167,-51.1,8.01,76,20,2.57,GL,1721068631
119,katabu,-4.9333,122.5167,22.01,85,4,1.87,ID,1721068633
120,coron,11.9986,120.2043,24.94,92,100,3.13,PH,1721068634
121,mancio lima,-7.6142,-72.8958,26.04,61,20,2.57,BR,1721068635
122,pangai,-19.8,-174.35,23.06,73,75,3.09,TO,1721068636
123,guarapuava,-25.3953,-51.4581,11.68,96,100,2.17,BR,1721068638
124,garca,-22.2106,-49.6561,23.79,43,97,1.87,BR,1721068639
125,revda,56.801,59.9303,12.26,91,83,1.68,RU,1721068640
126,st. john's,47.5649,-52.7093,23.42,77,20,5.14,CA,1721068641
127,tamanrasset,22.785,5.5228,23.95,57,40,5.14,DZ,1721068428
128,ndjole,-0.1783,10.7649,24.75,76,94,1.1,GA,1721068644
129,codrington,-38.2667,141.9667,10.84,89,100,12.87,AU,1721068645
130,thompson,55.7435,-97.8558,13.09,67,100,5.14,CA,1721068646
131,weno,7.4515,151.8468,28.52,74,100,3.44,FM,1721068648
132,cannonvale,-20.2833,148.7,17.66,75,0,1.82,AU,1721068649
133,alghero,40.5589,8.3181,29.05,61,0,3.6,IT,1721068368
134,mont belvieu,29.8477,-94.8908,34.47,68,100,3.17,US,1721068653
135,lhasa,29.65,91.1,12.93,83,100,1.8,CN,1721068654
136,mossel bay,-34.1831,22.146,8.96,76,64,2.67,ZA,1721068655
137,pijijiapan,15.7011,-93.23,35.7,44,9,2.11,MX,1721068492
138,wakkanai,45.4094,141.6739,17.37,87,98,3.59,JP,1721068658
139,nalhati,24.3,87.8167,29.01,80,99,4.16,IN,1721068659
140,kasongo-lunda,-6.4667,16.8167,24.92,26,98,1.52,CD,1721068661
141,uvinza,-5.1036,30.3911,21.59,45,19,1.33,TZ,1721068662
142,wenchang,30.904,118.4887,25.83,89,100,1.99,CN,1721068664
143,ushuaia,-54.8,-68.3,3.81,87,0,1.03,AR,1721068665
144,tura,25.5198,90.2201,24.78,99,100,1.47,IN,1721068666
145,ghadamis,30.1337,9.5007,40.78,9,79,4.47,LY,1721068668
146,bamboo flat,11.7,92.7167,26.05,89,100,2.57,IN,1721068669
147,sitka,57.0531,-135.33,14.94,88,100,0.0,US,1721068670
148,port moresby,-9.4431,147.1797,23.28,74,100,2.68,PG,1721068672
149,constantia,44.1833,28.65,29.38,58,100,0.75,RO,1721068673
150,christchurch,-43.5333,172.6333,7.73,95,100,3.58,NZ,1721068293
151,rio grande,-32.035,-52.0986,17.06,69,0,3.33,BR,1721068676
152,petropavlovsk-kamchatsky,53.0452,158.6483,12.33,94,75,1.0,RU,1721068677
153,keflavik,64.0049,-22.5624,14.95,67,40,3.6,IS,1721068678
154,saldanha,-33.0117,17.9442,12.03,62,85,2.66,ZA,1721068680
155,talnakh,69.4865,88.3972,12.9,73,7,3.9,RU,1721068681
156,longyearbyen,78.2186,15.6401,6.91,87,75,1.03,SJ,1721068492
157,northam,51.0333,-4.2167,15.9,96,94,3.51,GB,1721068684
158,mugia,43.1041,-9.2179,20.09,91,19,6.73,ES,1721068685
159,pauini,-7.7136,-66.9764,31.5,30,5,1.95,BR,1721068686
160,mount pearl,47.5166,-52.7813,22.96,77,20,5.14,CA,1721068688
161,yaren,-0.5472,166.916,28.99,74,41,5.36,NR,1721068689
162,bethel,41.3712,-73.414,33.36,65,20,4.12,US,1721068690
163,newman,37.3138,-121.0208,29.19,21,1,0.66,US,1721068692
164,cockburn town,21.4612,-71.1419,31.98,62,40,7.2,TC,1721068693
165,fougamou,-1.2154,10.5838,24.03,78,99,0.88,GA,1721068694
166,ghat,24.9647,10.1728,37.94,8,5,5.5,LY,1721068696
167,coremas,-7.0144,-37.9458,34.42,21,0,5.14,BR,1721068697
168,el haouaria,37.05,11.0144,30.01,76,0,3.46,TN,1721068698
169,hawaiian paradise park,19.5933,-154.9731,23.74,87,75,3.6,US,1721068699
170,tutoia,-2.7619,-42.2744,28.01,68,1,5.11,BR,1721068701
171,katsuura,35.1333,140.3,22.1,94,100,2.79,JP,1721068702
172,camayenne,9.535,-13.6878,26.05,89,75,4.12,GN,1721068703
173,cieza,38.24,-1.4199,34.72,25,0,1.83,ES,1721068704
174,bikenibeu village,1.3673,173.1241,26.98,94,100,2.57,KI,1721068706
175,saint croix,17.7397,-64.7388,31.25,66,40,5.66,VI,1721068707
176,diok'nisi,41.6293,42.3917,19.52,92,100,1.82,GE,1721068708
177,port alfred,-33.5906,26.891,13.63,69,0,6.28,ZA,1721068709
178,yuktae-dong,40.0247,128.1597,20.9,84,99,1.36,KP,1721068711
179,okhotsk,59.3833,143.3,12.23,96,100,2.43,RU,1721068712
180,papao,-17.75,-149.55,27.82,78,0,7.85,PF,1721068713
181,hamilton,39.1834,-84.5333,34.29,57,20,5.66,US,1721068714
182,layyah,30.9613,70.939,40.46,25,0,2.65,PK,1721068716
183,vanimo,-2.6741,141.3028,24.75,93,100,1.64,PG,1721068717
184,arteche,12.2645,125.4048,26.04,86,100,1.61,PH,1721068718
185,bardai,11.65,7.2333,25.59,74,100,2.75,NG,1721068719
186,utrik,11.2278,169.8474,27.79,84,7,10.43,MH,1721068721
187,novyy urgal,51.0736,132.5642,16.32,90,100,1.04,RU,1721068722
188,vorgashor,67.5833,63.95,14.79,88,34,3.14,RU,1721068723
189,davydovka,51.1578,39.4292,25.33,62,27,2.42,RU,1721068724
190,al hasakah,36.5024,40.7477,36.25,23,0,7.64,SY,1721068726
191,rio gallegos,-51.6226,-69.2181,6.03,70,20,4.63,AR,1721068727
192,hammerfest,70.6634,23.6821,12.25,87,0,6.17,NO,1721068729
193,eforie sud,44.0229,28.6494,29.45,58,100,1.32,RO,1721068731
194,roma,43.2128,-75.4557,32.51,59,40,3.09,US,1721068732
195,jayapura,-2.5333,140.7,24.66,94,100,1.48,ID,1721068733
196,geraldton,-28.7667,114.6,10.23,93,4,3.6,AU,1721068734
197,crane,31.3974,-102.3501,35.08,27,0,6.71,US,1721068736
198,nishinoomote,30.7333,131.0,26.99,84,5,0.74,JP,1721068737
199,matoury,4.8483,-52.3317,29.98,74,100,1.54,GF,1721068738
200,barcelos,41.5388,-8.6151,21.58,78,10,2.26,PT,1721068740
201,ivano-frankivsk,48.9215,24.7097,20.78,83,7,1.22,UA,1721068741
202,namtsy,62.7161,129.6658,16.11,75,0,1.56,RU,1721068742
203,gutierrez zamora,20.45,-97.0833,32.9,68,63,3.52,MX,1721068743
204,cuito,-12.3833,16.9333,14.63,17,37,0.71,AO,1721068745
205,ujae,8.9322,165.7642,28.32,84,99,10.67,MH,1721068746
206,silsbee,30.3491,-94.178,32.86,72,100,0.45,US,1721068747
207,luau,-10.7073,22.2247,20.07,24,7,1.64,AO,1721068748
208,kapa'a,22.0752,-159.319,26.38,69,40,8.23,US,1721068750
209,nadvoitsy,63.8667,34.3167,16.44,83,99,3.38,RU,1721068751
210,lazaro cardenas,17.9583,-102.2,31.48,61,47,5.38,MX,1721068620
211,greymouth,-42.4667,171.2,8.4,91,100,3.48,NZ,1721068753
212,moshkovo,55.3053,83.6104,18.55,79,46,2.42,RU,1721068755
